NUMERO,PREGUNTA
1,Muestra disposición a apoyar a sus compañeros cuando enfrentan una carga de trabajo elevada.
2,Comparte información útil con el equipo sin que se le solicite.
3,"Escucha con atención y respeta los aportes de los demás, aunque no coincidan con los suyos."
4,Busca construir soluciones en conjunto en lugar de imponer su punto de vista.
5,Reconoce públicamente los logros o esfuerzos de otros miembros del equipo.
6,Tiene apertura a recibir y ofrecer retroalimentación para mejorar como grupo.
7,"Si alguien más comete un error, ofrece ayuda antes que crítica."
,
,
